#{"t_start": 1789385749.8017635, "env_id": "None"}
r,l,t
14772.645765,5000,4145.612467
14771.942666,5000,4150.185926
14779.290969,5000,4155.726835
14764.811177,5000,4160.377169
14771.587161,5000,4165.866035
14761.608382,5000,4170.587065
14774.033439,5000,4175.215153
14782.672065,5000,4180.776819
14779.87919,5000,4185.382826
14777.474663,5000,4190.926654
14763.998007,5000,4195.550225
14769.219353,5000,4201.018393
14776.509874,5000,4205.645057
14767.046432,5000,4211.156478
14781.825909,5000,4215.806036
14767.676671,5000,4220.405784
14765.410399,5000,4225.84807
14765.924884,5000,4230.438806
14777.253353,5000,4235.929312
14772.987514,5000,4240.537724
14777.468421,5000,4245.971753
14755.481297,5000,4250.601916
14763.916478,5000,4255.169179
14750.620731,5000,4260.640064
14754.784296,5000,4265.222712
14757.471875,5000,4270.686119
14745.257799,5000,4275.389899
14746.674191,5000,4281.300955
14750.494771,5000,4286.110398
14755.744534,5000,4291.779726
14756.793495,5000,4296.548382
14748.384453,5000,4301.360923
14752.890777,5000,4307.008451
14746.819673,5000,4311.811299
14741.162684,5000,4317.602924
14755.675814,5000,4322.478015
14742.923848,5000,4328.265546
14749.966804,5000,4333.131232
14746.021357,5000,4338.748707
14753.855441,5000,4343.676808
14742.050435,5000,4348.646037
14757.431941,5000,4354.459109
14754.779917,5000,4359.286451
14754.212195,5000,4365.025579
14751.687884,5000,4369.710973
14763.098964,5000,4375.488633
14764.104031,5000,4380.381852
14762.062771,5000,4386.153598
14755.450078,5000,4390.851328
14771.367387,5000,4395.45761
14775.286408,5000,4401.078969
14772.728694,5000,4405.765853
14774.376196,5000,4411.272094
14784.113139,5000,4415.988164
14774.08858,5000,4421.559146
14780.209639,5000,4426.294992
14771.549435,5000,4431.243965
14775.20212,5000,4436.907267
14774.796865,5000,4441.674759
14772.026833,5000,4447.321103
14760.261113,5000,4452.1157
14775.476428,5000,4457.719576
14763.77468,5000,4462.485336
14779.442965,5000,4468.167076
14776.334369,5000,4472.899157
14779.237679,5000,4477.65256
14775.669083,5000,4483.297794
14774.307335,5000,4487.994418
14766.867566,5000,4493.90226
14762.347124,5000,4498.649493
14750.912918,5000,4504.257961
14757.609178,5000,4508.976583
14755.04063,5000,4514.64868
14764.969934,5000,4519.404659
14752.086483,5000,4524.119872
14762.787209,5000,4529.73779
14758.026231,5000,4534.474201
14757.994946,5000,4540.02996
14758.295345,5000,4544.720798
14765.458585,5000,4550.235086
14766.860463,5000,4554.831171
14757.96164,5000,4560.342529
14758.138724,5000,4564.984725
14759.453462,5000,4569.810855
14750.261528,5000,4575.651579
14760.495817,5000,4580.894241
14758.224441,5000,4586.933268
14766.087044,5000,4591.910908
14758.260531,5000,4597.817214
14760.881259,5000,4602.950243
14755.209554,5000,4607.802851
14751.955087,5000,4613.691424
14753.62051,5000,4618.973541
14755.224068,5000,4624.954762
14761.479564,5000,4629.90439
14752.860211,5000,4635.879239
14754.159408,5000,4640.798524
14762.92343,5000,4646.508954
14759.848672,5000,4651.434733
14764.757429,5000,4656.301753
14755.748206,5000,4662.241606
